DateTime;NAV officielle
13/04/2016;13,6507
14/04/2016;13,7168
15/04/2016;13,8041
18/04/2016;13,7981
19/04/2016;13,8798
20/04/2016;13,8517
21/04/2016;13,7492
22/04/2016;13,8590
25/04/2016;13,8220
26/04/2016;13,8469
27/04/2016;13,9068
28/04/2016;13,9276
29/04/2016;13,8083
02/05/2016;13,8523
03/05/2016;13,7312
04/05/2016;13,6195
05/05/2016;13,6724
06/05/2016;13,7339
09/05/2016;13,7814
10/05/2016;13,8857
11/05/2016;13,8195
12/05/2016;13,8877
13/05/2016;13,9065
16/05/2016;13,9572
17/05/2016;13,9095
18/05/2016;13,9254
19/05/2016;13,9291
20/05/2016;14,0430
23/05/2016;14,0437
24/05/2016;14,3040
25/05/2016;14,4086
26/05/2016;14,3961
27/05/2016;14,5044
30/05/2016;14,4847
31/05/2016;14,4936
01/06/2016;14,4940
02/06/2016;14,4751
03/06/2016;14,3716
06/06/2016;14,3870
07/06/2016;14,5501
10/06/2016;14,3613
13/06/2016;14,1925
14/06/2016;14,2004
15/06/2016;14,1795
16/06/2016;14,2087
17/06/2016;14,2012
20/06/2016;14,4544
21/06/2016;14,5284
22/06/2016;14,4893
23/06/2016;14,5156
24/06/2016;14,1246
27/06/2016;14,0370
28/06/2016;14,1815
29/06/2016;14,4366
30/06/2016;14,6588
01/07/2016;14,6543
04/07/2016;14,5878
05/07/2016;14,4738
06/07/2016;14,4742
07/07/2016;14,4482
08/07/2016;14,6558
11/07/2016;14,7998
12/07/2016;14,8124
13/07/2016;14,8764
14/07/2016;14,8942
15/07/2016;14,9141
18/07/2016;14,9100
19/07/2016;14,9544
20/07/2016;15,0290
21/07/2016;14,9322
22/07/2016;15,0008
25/07/2016;15,0099
26/07/2016;15,2039
27/07/2016;15,2113
28/07/2016;15,1381
29/07/2016;15,0651
01/08/2016;14,9416
02/08/2016;14,7748
03/08/2016;14,7660
04/08/2016;14,8454
05/08/2016;14,9251
08/08/2016;14,9043
09/08/2016;14,9237
